abatiste;abatites
peligroso;perikolozo
pelirrojo;ruvio
peluquería;berber
peluquería;kuafor
película;filmo
pena;penserios
penalizaí;penalizai
pensamienta;pensada
pensamiento;pensada
penúltimo;antes del dalkavo
peor;mas negro
pequeña;chika
pequeño;chiko
perden;pedren
perdo;pedro
perecí;peresi
perecías;peresias
perejil;maydanoz
pereza;haraganud
perezoso;haragan
perfección;perfeksion
perfecto;perfekto
perfil;profil
periódica;gazeta
periódica;jurnaa
periódico;gazeta
periódico;jurnal
perjudicaí;perjudikai
pero;ma
perpetua;perpetual
perpetuaí;perpetuai
perquirirás;perkiriras
persegue;persege
persegues;perseges
perseguo;persego
perseguías;persegias
personalizaí;personalizai
personificaí;personifikai
pertenecerseá;pertenesersea
pertenecerseán;pertenesersean
pertenecerseás;perteneserseas
pertenecerseé;pertenesersee
pertenecersías;pertenesersias
pertenecías;pertenesias
pervertí;perverti
pervertías;pervertias
pesada;pezgada
pesadez;pezgades
pesaj;pesah
pescado;pishkado
pescados;pishkados
peso;pezgo
pestaña;pestanya
petrólea;petrolia
petróleo;petrolio
piaí;piai
picado;presipitado abasho
picante;pikante
picaí;pikai
pierna;pacha
piernas;pachas
pincha;pinka
pincho;pinko
pintor;pintador
pintura;tablo
piropa;shakaruka
piropo;shakaruka
piscina;pisina
piso;apartamento
pista;indisio
pizarra;tablo preto
pizcaí;pizkai
pié;pie
piña;fruto del pino
piñón;pinyon
place;plase
placer;plazer
places;plases
placo;plako
plací;placi
placías;placias
plagaí;plagai
plancha;planka
planchas;plankas
planchaste;plankates
planché;planki
planeaste;planeates
planeé;planei
plantaste;plantates
plastificaí;plastifikai
platicaí;platikai
playa;plaj
plaza;plasa
plañí;planyi
plañías;planyias
plegaria;orasion
plátano;banana
poblaí;poblai
pobre;povereto
pobre;prove
poco;poko
poder;pueder
poema;poezia
poesía;poezia
policía;polisiya
polla;poya
pollo;gayna
polucionas;polusionas
polucionaste;polusionates
poluciono;polusiono
polucioné;polusioni
ponernos;azernos
ponerse;vistirse
porfiaí;porfiai
pormenorizaí;pormenorizai
porque;por ke
porque;porke
portaste;portates
posaste;posates
posesión;posesion
posible;posivle
positivo;pozitivo
posponí;posponi
posponías;posponias
postergaí;postergai
posterior;despues
postre;savor de boka
posé;posi
potabilizaí;potabilizai
potencia;poder
precepto;presepto
precio;presio
precipicia;presipisia
precipicio;presipisio
precisamente;prechizamente
preciso;prechizo
preconcebí;prekonsebi
preconcebías;prekonsebias
predecí;predeci
predecías;predecias
predia;proprieta
predio;proprieta
predisponí;predisponi
predisponías;predisponias
pregonaste;pregonates
pregoné;pregoni
preguntas;pregntas
prendiste;prendites
prendéis;prendesh
prendías;prendias
preocupación;preokupasion
preocupado;preokupado
preocuparse;merikiarse
preocuparse;perkurar
preocupaste;preokupates
preparación;preparativos
preposición;prepozision
presente;prezente
presentí;presenti
presentías;presentias
preservaste;preservates
preservé;preservi
presionaste;presionates
prestado;emprestado
prestamos;prestimos
presumiste;presumites
presumí;presumi
presumías;presumias
presuponí;presuponi
presuponías;presuponias
pretendiste;pretendites
pretendías;pretendias
pretexto;preteksto
prevalecías;prevalesias
prevalerseá;prevalersea
prevalerseán;prevalersean
prevalerseás;prevalerseas
prevalerseé;prevalersee
prevalersió;prevalersio
prevalersí;prevalersi
prevalersía;prevalersia
prevalersías;prevalersias
prevení;preveni
prevenías;prevenias
preví;previ
prevías;previas
primogénita;bohora
primogénito;bohor
princesa;prenses
principio;empesijo
principio;prinsipio
pringaí;pringai
privación;afrision
privaste;privates
privé;privi
probaí;probai
problema;problem
problemas;problemes
procediste;prosedites
procedéis;prosedesh
procedías;prosedias
procesas;prosesas
procesaste;prosesates
proceso;proseso
procesé;prosesi
proclamaste;proclamates
proclamé;proclami
procuraste;prokurates
prodigaí;prodigai
producirse;produizirse
produco;produko
producí;produci
producías;producias
proferí;proferi
proferías;proferias
profesionalizaí;profesionalizai
progenitores;djenitores
programaste;programates
progresaste;progresates
progresé;progresi
prohibí;proibi
prolongación;prolungasion
prometerás;prometeras
prometías;prometias
promoví;promovi
pronostico;previsto
pronto;presto
pronunciaste;pronunsiates
propagaí;propagai
propia;propya
propio;propyo
proporcionaste;proporsionates
proporcioné;proporsioni
proposición;propozision
propuesta;propozision
prorrogaí;prorrogai
prostituí;prostitui
prostituías;prostituias
protegernos;protejarmos
protegí;protedji
protegías;protedjias
protestaste;protestates
protesté;protesti
provení;proveni
provenías;provenias
provincia;provensia
provocaí;provokai
proyectaste;proyektates
proyecto;prodjekto
proyecto;proyekto
proyecté;proyekti
prueba;prova
práctico;pratiko
próspero;prospero
próxima;serka
próximo;el de despues
psicoanalizaí;psikoanalizai
psiquiatría;psikiatriya
publicas;publikas
publico;publiko
publicé;publice
pudiendo;podiendo
puebla;kazaa
puebla;puevla
pueblerino;kazalino
pueblo;kazal
pueblo;puevlo
puente;ponte
puentes;pontes
puerra;prasa
puerro;prasa
pues;portanto
puliste;pulites
pulsaste;pulsates
pulsé;pulsi
pulí;puli
pulías;pulias
puntualizaí;puntualizai
puntuaí;puntuai
punzaí;punzai
purgaí;purgai
purificaí;purifikai
puña;punya
puñetes;mansheta
puño;punyo
página;oja
pájara;pashara
pájaro;pasharo
párpada;parpara
párpado;parparo
pésaj;Pesah
pólvora;polvora
púa;punchon
público;publiko
que;ke
quedarse;kedarse
quejarse;kesharse
quemado;kemado
quemas;kemas
quemaste;kemates
querido;kerido
quesa;keza
queso;kezo
quien;ken
quieto;kalmo
quimera;fantezia
quince;kinze
quinientos;kinyentos
quinto;sinken
quito;kito
quién;ken
química;kimika
químico;kimiko
rabino;haham
racionalizaí;rasionalizai
racismo;rasizmo
radiaste;radiates
radicaí;radikai
radiografiaí;radiografiai
radié;radii
rallador;rayador
rama;ramo
rambla;avenida
ramificarseá;ramifikarsea
ramificarseás;ramifikarseas
ramificarseé;ramifikarsee
ramificarsimos;ramifikarsimos
ramificarsió;ramifikarsio
ramificarsí;ramifikarsi
ramificarsía;ramifikarsia
ramificarsías;ramifikarsias
ramificaí;ramifikai
rascarse;arraskarse
rascaí;raskai
rata;raton
rata;tiempa
ratificaí;ratifikai
rato;tiempo
raza;rasa
razón;razon
raí;rai
raíz;rais
reaccionaste;reacsionates
readmitirás;readmitiras
readmitiré;readmitire
readmitiréis;readmitiresh
readmitirías;readmitas
readmitiste;readmitites
readmití;readmiti
readmitías;readmitias
realidad;faktos
realzaí;realzai
reaparecí;reaparesi
reaparecías;reaparesias
reargüí;reargui
reargüías;rearguias
rebelión;rebelion
reblandecías;reblandesias
rebobinaste;rebobinates
rebobiné;rebobini
rebozaí;rebozai
rebullí;rebuyi
rebullías;rebuyias
rebuscaí;rebuskai
recalcaí;rekalkai
recaí;rekai
recelas;reselas
recelaste;reselates
recelo;reselo
recelé;reseli
receta;recheta
receta;resefta
recibo;resibo
reciclas;resiclas
reciclaste;resiclates
reciclé;resicli
recio;rezio
reclamaste;reclamates
recluí;reclui
recluías;recluias
reconocías;rekonosias
reconquista;rekonkista
reconquistas;rekonkistas
reconquistaste;rekonkistates
reconquisto;rekonkisto
reconquisté;rekonkisti
reconstruí;rekonstrui
reconstruías;rekonstruias
reconvertías;rekonvertias
recrudecí;rekrudesi
recrudecías;rekrudesias
recuperaste;rekuperates
recíprocamente;resiprokamente
redacción;redaksion
redactaste;redaktates
redargüías;redarguias
redecí;redeci
redirigías;redirigias
reelegí;reelegi
reelegías;reelegias
reexpedí;reexpedi
reexpedías;reexpedias
referirseás;referirseas
referirsí;referirsi
referirsías;referirsias
refinaste;refinates
refiné;refini
reflejaste;reflejates
reflejé;refleji
reflexionaste;reflexionates
refrescaí;refreskai
refrigeras;refridjeras
refrigeraste;refridjerates
refrigero;refridjero
refrán;refran
refrí;refri
refrías;refrias
refugiarse;refujiarse
regateaste;regateates
regateé;regatei
registraréis;redjistraresh
registro;rekor
región;rejion
regulas;reglas
regulaste;reglates
regulé;regli
regí;regi
regías;regias
rehací;reasi
rehacías;reasias
rehuí;reui
rehuías;reuias
reinaste;reinates
reiné;reini
rejuvenecías;rejuvenesias
relacionaste;relasionates
relajaste;relajates
relataste;relatates
relaté;relati
religioso;relijiozo
religión;relijion
rellenas;reyenas
rellenaste;reyenates
relleno;reyeno
reloj;ora
relucí;reluci
relucías;relucias
remaste;remates
remedio;demedio
remitiste;remitites
remitías;remitias
remordí;remodri
remordías;remodrias
removí;removi
removías;removias
remé;remi
remó;remo
renací;renasi
renacías;renasias
rencor;renkor
rendirse;renderse
renuncia;renunsia
renuncias;renunsias
renunciaste;renunsiates
reojo;arrebashamiento
reparaste;reparates
repartiste;repartites
repartías;repartias
repasaste;repasates
repatriaí;repatriai
repercusión;reperkusion
repicaí;repikai
replicas;replikas
replicaste;replikaste
replicé;replice
repoblaí;repoblai
reponí;reponi
reponías;reponias
reportaste;reportates
reporté;reporti
reposo;repozo
representaste;representates
representé;representi
reprobaí;reprobai
reprochas;reprokas
reprochaste;reprokates
reproché;reproki
reproducirseás;reproduzirseas
reproducirsimos;reproduzirsimos
reproducirsías;reproduzirsias
reproducí;reproduci
reproducías;reproducias
república;republika
requerí;rekeri
requerías;rekerias
resabí;resabi
resarcí;resarci
resarcías;resarcias
resbalaste;resbalates
resbalé;resbali
resecaí;resekai
reserva;rezerva
reservaste;reservates
resfriada;yelada
resfriado;yelado
resfriarse;aferrar abashada
resfriaí;resfriai
resististe;resistites
resistías;resistias
resollaí;resoyai
resonaí;resonai
respetaste;respetates
respeto;respekto
respiraste;respirates
resplandecías;resplandesias
respondéis;respondesh
respondías;respondias
responsabilidad;responsabilitad
respuesta;repuesta
restablecí;restablesi
restablecías;restablesias
restaurante;restorante
restauraste;restaurates
restituí;restitui
restituías;restituias
restringí;restringi
restringías;restringias
resultaste;resultates
resulté;resulti
resumiste;resumites
resumí;resumi
resumías;resumias
retení;reteni
retenías;retenias
reteñí;retenyi
reteñías;retenyias
retiraste;retirates
retozaí;retozai
retraducí;retraduci
retraducías;retraducias
retraerseá;retraersea
retraerseás;retraerseas
retraersías;retraersias
retrasaste;retrasates
retraso;retardo
retrasé;retrasi
retrato;portreto
retraí;retrai
reunías;reunias
revelaste;revelates
revelé;reveli
revenirseás;revenirseas
revenirsías;revenirsias
revertí;reverti
revertías;revertias
revestí;revesti
revestías;revestias
revocaí;revokai
revolución;revolusion
revés;roves
reñido;araviado
reñí;renyi
rico;riko
riesga;rizika
riesgo;riziko
rigurosamente;rigorozamente
rincón;kanton
ringaí;ringai
rivalizaí;rivalizai
rizaí;rizai
roble;rovle
rociaí;rosiai
rodaí;rodai
rodeado;entornado
rodeaste;rodeates
rodeé;rodei
rodilla;diz
rogaí;rogai
rojo;kolorado
rollito;ruliko
romanzaí;romanzai
rompecabezas;rompe kavesa
roncaí;ronkai
ronzaí;ronzai
ropa;fostan
rosa;roza
rosas;rozas
rostra;kara
rostro;kara
roí;roi
roías;roias
rubio;blondo
rugí;rugi
rugías;rugias
ruida;bruida
ruido;bruido
ráfaga;bora
rápidamente;rapidamente
rápido;presto
ría;ria
río;rio
rústico;rustiko
sa;debasha
sabor;pasto
sabor;savor
saboreaste;saboreates
saboreé;saborei
saboteaste;saboteates
saboteé;sabotei
sabroso;savrozo
sacaí;sakai
sacias;sasias
saciaste;sasiates
sacio;sasio
sacié;sasii
sacrificaí;sakrifikai
sacrificia;sakrifisia
sacrificio;sakrifisio
sacudes;sakudes
sacudiste;sakudites
sacudías;sakudias
sahumaí;saumai
salaste;salates
saltaste;saltates
salé;sali
saló;salo
sanaste;sanates
sandia;karpuz
santificaí;santifikai
sané;sani
saponificaí;saponifikai
sarmentaí;sarmentai
sastre;shastre
satisfacerás;satisfaseras
satisfací;satisfasi
satisfacías;satisfasias
seca;seka
secarseá;sekarsea
secarseán;sekarsean
secarseás;sekarseas
secarseé;sekarsee
secarsimos;sekarsimos
secarsió;sekarsio
secarsí;sekarsi
secarsías;sekarsias
secas;sekas
secaste;sekaste
seco;seko
secreta;sekretoa
secretaria;sekretea
secretario;sekreter
secreto;sekreto
secretos;sekretos
secé;sece
sed;ser
sediento;ser
seducí;seduci
seducías;seducias
segaí;segai
segregaí;segregai
segue;sege
segues;seges
segunda;sigunda
seguo;sego
seguro;siguro
según;asigun
seis;sesh
seiscientos;sheshentos
sello;muur
selva;shara tropikal
semanal;por semana
semblante;kara
sembraí;sembrai
semejante;asemejante
semáfora;lampas de trafia
semáforo;lampas de trafik
sentada;asentada
sentadas;asentadas
sentarse;asentarse
sentaí;sentai
sentida;sensa
sentido;senso
sentirseás;sentirseas
sentirsías;sentirsias
sepulcral;komo de betahayim
seriamente;seriozamente
serpiente;kulevra
serraí;serrai
servías;servias
será;va ser
serán;seran
serás;seras
seré;sere
sexa;seksa
sexo;sekso
señal;sinyal
sietecientos;setesientos
significada;sinyifikasioa
significado;sinyifikasion
signo;sinyo
silencio;silensio
silla;siya
sillón;fotolyo
simpático;simpatiko
sincero;sinsero
singaí;singai
sino;al kontrario
sino;si no
situación;situasion
situarseás;situarseas
situarsí;situarsi
situarsías;situarsias
sió;sio
so;debasho
sobre;sovre
sobrina;sovrina
sobrino;sovrino
social;sosyal
socorro;sokorro
solaí;solai
soldaí;soldai
solerás;soleras
solidificaí;solidifikai
solución;solusion
solví;solvi
solvías;solvias
solí;soli
sombra;solombra
sonido;sonete
sonreías;sonreias
soné;sone
sopa;supa
sosegaí;sosegai
sospecha;sospeka
sospechas;sospekas
sostenerás;sosteneras
sostení;sosteni
sostenías;sostenias
soterraí;soterrai
soñas;sonyas
subarrendaí;subarrendai
subseguí;subsegi
subseguías;subsegias
substraí;substrai
subyací;subyasi
subyacías;subyasias
sucesivamente;suksesivamente
sucesivo;suksesivo
sucesión;suksesion
sucio;suzio
suegras;eshuegras
suelo;patin
sueño;es.huenyo
sueños;es.huenyos
sumergías;sumergias
superficial;superfisial
supermercado;supermarket
superponí;superponi
superponías;superponias
supliste;suplites
suplí;supli
suplías;suplias
surcí;surci
surcías;surcias
surges;surdjes
surgí;surgi
surgías;surgias
sustituías;sustituias
sustraí;sustrai
sábado;shabat
sándwich;sandvich
sándwiches;sandviches
séptimo;sieten
sésamo;sesamo
sí;si
sía;sia
sían;sian
sías;sias
sílaba;silaba
sólo;solo
sórdido;basho
súbdita;sudita
súbdito;sudito
tacta;kontakta
tacto;kontakto
tafetán;tafta
tajada;revanada
tajada;tejada
también;tambien
tambor;tambur
tampoco;ni
tanque;tank
tapas;ordovres
tapón;tapon
taquilla;bilyeto
tarde;tadre
tartamuda;peltea
tartamudo;peltek
tasas;kaves
tañe;tanye
tañen;tanyen
tañes;tanyes
taño;tanyo
tañí;tanyi
tañías;tanyias
tedia;infasia
tedio;infasio
telecomunicación;telekomunikasion
telefona;telefoa
telegrafiaí;telegrafiai
televisión;televizyon
teléfono;telefon
tema;sujeto
tembloroso;tremblante
temerario;temerozo
tenderseá;tendersea
tenderseás;tenderseas
tendersí;tendersi
tendersías;tendersias
tenedor;piron
tentaí;tentai
teoría;teoriya
tercer;treser
terreno;campo
terrible;terrivle
territorio;tierra de pais
tesis;tezis
tesoro;trezoro
testificaí;testifikai
texta;teksta
texto;teksto
tienda;botika
timbre;sonido
timón;timon
tinieblas;eskuridad
tiras;travas
tiro;travo
tocaí;tokai
tomate;tomat
tontería;bovedad
tonto;bovo
tormenta;tempesta
tostaí;tostai
trabajador;laboriozo
trabajo;echo
traductor;traduktor
tragaí;tragai
tragedia;trajedia
traje;kostum
tranquilo;kalmo
transferí;transferi
transferías;transferias
transgredí;transgredi
transgredías;transgredias
transito;tranzito
tranvía;tramvay
tras;despues
trascendí;trassendi
trascendías;trassendias
trasera;trazera
trasgredí;trasgredi
trasgredías;trasgredias
traslucirseás;trasluzirseas
traslucirsimos;trasluzirsimos
traslucirsías;trasluzirsias
travieso;fuerte
través;korva
traí;trai
trece;tredje
treinta;trenta
tremendo;espantavle
tren;treno
trescientos;trezientos
trocaí;trokai
tronaí;tronai
tronca;tronka
tronco;tronko
trozo;pedaso
tráfica;trafika
tráfico;trafiko
turca;turka
turco;turko
turista;turisto
turno;torno
té;chay
técnico;teknisyen
tía;tia
tía;tia
tímido;timido
tío;tio
título;titolo
tú;tu
ufano;egzaltado
ultimo;dalkavo
uncí;unci
uncías;uncias
ungí;ungi
ungías;ungias
urgí;urgi
urgías;urgias
ustedes;vozotros
uña;unya
vaca;vaka
vacaciones;vakansas
vaciaí;vasiai
vacía;vaziya
vacío;vaziyo
vagaí;vagai
veces;vezes
vela;kandela
velas;kandelas
verano;enverano
vesina;vizina
vesino;vizino
vestido;fostano
vestidos;fostanos
vivo;bivo
vosotros;vozotros
y;i
ángel;andjelo
príncipe;prens
británicos;inglezes
británico;inglez
