abalanzar;ekilibrar
endrogarseás;endrogarseas
endrogarseé;endrogarsee
endrogarsieron;endrogarsieron
endrogarsimos;endrogarsimos
endrogarsiste;endrogarsiste
endrogarsió;endrogarsio
endrogarsí;endrogarsi
endrogarsía;endrogarsia
endrogarsíamos;endrogarsiamos
endrogarsían;endrogarsian
endrogarsías;endrogarsias
endulzaieron;endulzaieron
endulzaimos;endulzaimos
endulzaiste;endulzaiste
endulzaió;endulzaio
endulzaremos;endulsaremos
endulzará;endulsara
endulzarán;endulsaran
endulzarás;endulsaras
endulzaré;endulsare
endulzaí;endulzai
endulzaía;endulzaia
endulzaíamos;endulzaiamos
endulzaían;endulzaian
endulzaías;endulzaias
endureceremos;endureseremos
endurecerá;enduresera
endurecerán;endureseran
endurecerás;endureseras
endureceré;enduresere
endurecieron;enduresieron
endurecimos;enduresimos
endureciste;enduresiste
endureció;enduresio
endurecí;enduresi
endurecía;enduresia
endurecíamos;enduresiamos
endurecían;enduresian
endurecías;enduresias
enero;jenero
enfadado;arraviado
enfadarse;arraviarse
enfatizaieron;enfatizaieron
enfatizaimos;enfatizaimos
enfatizaiste;enfatizaiste
enfatizaió;enfatizaio
enfatizaremos;enfatisaremos
enfatizará;enfatisara
enfatizarán;enfatisaran
enfatizarás;enfatisaras
enfatizaré;enfatisare
enfatizaí;enfatizai
enfatizaía;enfatizaia
enfatizaíamos;enfatizaiamos
enfatizaían;enfatizaian
enfatizaías;enfatizaias
enfatuarseemos;enfatuarseemos
enfatuarseá;enfatuarsea
enfatuarseán;enfatuarsean
enfatuarseás;enfatuarseas
enfatuarseé;enfatuarsee
enfatuarsieron;enfatuarsieron
enfatuarsimos;enfatuarsimos
enfatuarsiste;enfatuarsiste
enfatuarsió;enfatuarsio
enfatuarsí;enfatuarsi
enfatuarsía;enfatuarsia
enfatuarsíamos;enfatuarsiamos
enfatuarsían;enfatuarsian
enfatuarsías;enfatuarsias
enferma;hazina
enfermedad;hazinura
enfermería;enfirmeria
enfermo;hazino
enflacaieron;enflakaieron
enflacaimos;enflakaimos
enflacaiste;enflakaiste
enflacaió;enflakaio
enflacaremos;enflakaremos
enflacará;enflakara
enflacarán;enflakaran
enflacarás;enflakaras
enflacaré;enflakare
enflacaí;enflakai
enflacaía;enflakaia
enflacaíamos;enflakaiamos
enflacaían;enflakaian
enflacaías;enflakaias
enflaqueceremos;enflakeseremos
enflaquecerá;enflakesera
enflaquecerán;enflakeseran
enflaquecerás;enflakeseras
enflaqueceré;enflakesere
enflaquecieron;enflakesieron
enflaquecimos;enflakesimos
enflaqueciste;enflakesiste
enflaqueció;enflakesio
enflaquecí;enflakesi
enflaquecía;enflakesia
enflaquecíamos;enflakesiamos
enflaquecían;enflakesian
enflaquecías;enflakesias
enfocaieron;enfokaieron
enfocaimos;enfokaimos
enfocaiste;enfokaiste
enfocaió;enfokaio
enfocaremos;enfokaremos
enfocará;enfokara
enfocarán;enfokaran
enfocarás;enfokaras
enfocaré;enfokare
enfocaí;enfokai
enfocaía;enfokaia
enfocaíamos;enfokaiamos
enfocaían;enfokaian
enfocaías;enfokaias
enfrascaieron;enfraskaieron
enfrascaimos;enfraskaimos
enfrascaiste;enfraskaiste
enfrascaió;enfraskaio
enfrascaremos;enfraskaremos
enfrascarseemos;enfraskarseemos
enfrascarseá;enfraskarsea
enfrascarseán;enfraskarsean
enfrascarseás;enfraskarseas
enfrascarseé;enfraskarsee
enfrascarsieron;enfraskarsieron
enfrascarsimos;enfraskarsimos
enfrascarsiste;enfraskarsiste
enfrascarsió;enfraskarsio
enfrascarsí;enfraskarsi
enfrascarsía;enfraskarsia
enfrascarsíamos;enfraskarsiamos
enfrascarsían;enfraskarsian
enfrascarsías;enfraskarsias
enfrascará;enfraskara
enfrascarán;enfraskaran
enfrascarás;enfraskaras
enfrascaré;enfraskare
enfrascaí;enfraskai
enfrascaía;enfraskaia
enfrascaíamos;enfraskaiamos
enfrascaían;enfraskaian
enfrascaías;enfraskaias
enfrente;enfrente
enfriaieron;enfriaieron
enfriaimos;enfriaimos
enfriaiste;enfriaiste
enfriaió;enfriaio
enfriaremos;enfriaremos
enfriará;enfriara
enfriarán;enfriaran
enfriarás;enfriaras
enfriaré;enfriare
enfriaí;enfriai
enfriaía;enfriaia
enfriaíamos;enfriaiamos
enfriaían;enfriaian
enfriaías;enfriaias
enfureceremos;enfureseremos
enfurecerá;enfuresera
enfurecerán;enfureseran
enfurecerás;enfureseras
enfureceré;enfuresere
enfurecieron;enfuresieron
enfurecimos;enfuresimos
enfureciste;enfuresiste
enfureció;enfuresio
enfurecí;enfuresi
enfurecía;enfuresia
enfurecíamos;enfuresiamos
enfurecían;enfuresian
enfurecías;enfuresias
engendrar;enjendrar
engordar;engodrar
engrosaieron;engrosaieron
engrosaimos;engrosaimos
engrosaiste;engrosaiste
engrosaió;engrosaio
engrosaremos;engrosaremos
engrosará;engrosara
engrosarán;engrosaran
engrosarás;engrosaras
engrosaré;engrosare
engrosaí;engrosai
engrosaía;engrosaia
engrosaíamos;engrosaiamos
engrosaían;engrosaian
engrosaías;engrosaias
engríieron;engrieron
engríimos;engrimos
engríiste;engriste
engríió;engrio
engríremos;engriremos
engrírá;engrira
engrírán;engriran
engrírás;engriras
engríré;engrire
engrí;engri
engría;engria
engríamos;engriamos
engrían;engrian
engrías;engrias
engullieron;engyieron
engullimos;engyimos
engulliremos;engyiremos
engullirá;engyira
engullirán;engyiran
engullirás;engyiras
engulliré;engyire
engulliste;engyiste
engullió;engyio
engullí;engyi
engullía;engyia
engullíamos;engyiamos
engullían;engyian
engullías;engyias
enjalbegaieron;enjalbegaieron
enjalbegaimos;enjalbegaimos
enjalbegaiste;enjalbegaiste
enjalbegaió;enjalbegaio
enjalbegaremos;enjalbegaremos
enjalbegará;enjalbegara
enjalbegarán;enjalbegaran
enjalbegarás;enjalbegaras
enjalbegaré;enjalbegare
enjalbegaí;enjalbegai
enjalbegaía;enjalbegaia
enjalbegaíamos;enjalbegaiamos
enjalbegaían;enjalbegaian
enjalbegaías;enjalbegaias
enjoyado;yeno de djoya
enjuagaieron;enjuagaieron
enjuagaimos;enjuagaimos
enjuagaiste;enjuagaiste
enjuagaió;enjuagaio
enjuagaremos;enjuagaremos
enjuagará;enjuagara
enjuagarán;enjuagaran
enjuagarás;enjuagaras
enjuagaré;enjuagare
enjuagaí;enjuagai
enjuagaía;enjuagaia
enjuagaíamos;enjuagaiamos
enjuagaían;enjuagaian
enjuagaías;enjuagaias
enjugaieron;enjugaieron
enjugaimos;enjugaimos
enjugaiste;enjugaiste
enjugaió;enjugaio
enjugaremos;enjugaremos
enjugará;enjugara
enjugarán;enjugaran
enjugarás;enjugaras
enjugaré;enjugare
enjugaí;enjugai
enjugaía;enjugaia
enjugaíamos;enjugaiamos
enjugaían;enjugaian
enjugaías;enjugaias
enlazaieron;enlazaieron
enlazaimos;enlazaimos
enlazaiste;enlazaiste
enlazaió;enlazaio
enlazaremos;enlasaremos
enlazará;enlasara
enlazarán;enlasaran
enlazarás;enlasaras
enlazaré;enlasare
enlazaí;enlazai
enlazaía;enlazaia
enlazaíamos;enlazaiamos
enlazaían;enlazaian
enlazaías;enlazaias
enlenzaieron;enlenzaieron
enlenzaimos;enlenzaimos
enlenzaiste;enlenzaiste
enlenzaió;enlenzaio
enlenzaremos;enlensaremos
enlenzará;enlensara
enlenzarán;enlensaran
enlenzarás;enlensaras
enlenzaré;enlensare
enlenzaí;enlenzai
enlenzaía;enlenzaia
enlenzaíamos;enlenzaiamos
enlenzaían;enlenzaian
enlenzaías;enlenzaias
enloquece;enlokese
enloquecemos;enlokesemos
enloquecen;enlokesen
enloquecer;enlokeser
enloqueceremos;enlokeseremos
enloquecerseemos;enlokeserseemos
enloquecerseá;enlokesersea
enloquecerseán;enlokesersean
enloquecerseás;enlokeserseas
enloquecerseé;enlokesersee
enloquecersieron;enlokesersieron
enloquecersimos;enlokesersimos
enloquecersiste;enlokesersiste
enloquecersió;enlokesersio
enloquecersí;enlokesersi
enloquecersía;enlokesersia
enloquecersíamos;enlokesersiamos
enloquecersían;enlokesersian
enloquecersías;enlokesersias
enloquecerá;enlokesera
enloquecerán;enlokeseran
enloquecerás;enlokeseras
enloqueceré;enlokesere
enloqueces;enlokeses
enloquecieron;enlokesieron
enloquecimos;enlokesimos
enloqueciste;enlokesiste
enloqueció;enlokesio
enloqueco;enlokeko
enloquecí;enlokeci
enloquecía;enlokecia
enloquecíamos;enlokeciamos
enloquecían;enlokecian
enloquecías;enlokecias
enlucieron;enlusieron
enlucimos;enlusimos
enluciremos;enluziremos
enlucirá;enluzira
enlucirán;enluziran
enlucirás;enluziras
enluciré;enluzire
enluciste;enlusiste
enlució;enlusio
enlucí;enluci
enlucía;enlucia
enlucíamos;enluciamos
enlucían;enlucian
enlucías;enlucias
enmarcaieron;enmarkaieron
enmarcaimos;enmarkaimos
enmarcaiste;enmarkaiste
enmarcaió;enmarkaio
enmarcaremos;enmarkaremos
enmarcará;enmarkara
enmarcarán;enmarkaran
enmarcarás;enmarkaras
enmarcaré;enmarkare
enmarcaí;enmarkai
enmarcaía;enmarkaia
enmarcaíamos;enmarkaiamos
enmarcaían;enmarkaian
enmarcaías;enmarkaias
enmendaieron;enmendaieron
enmendaimos;enmendaimos
enmendaiste;enmendaiste
enmendaió;enmendaio
enmendaremos;enmendaremos
enmendará;enmendara
enmendarán;enmendaran
enmendarás;enmendaras
enmendaré;enmendare
enmendaí;enmendai
enmendaía;enmendaia
enmendaíamos;enmendaiamos
enmendaían;enmendaian
enmendaías;enmendaias
enmoheceremos;enmoeseremos
enmohecerá;enmoesera
enmohecerán;enmoeseran
enmohecerás;enmoeseras
enmoheceré;enmoesere
enmohecieron;enmoesieron
enmohecimos;enmoesimos
enmoheciste;enmoesiste
enmoheció;enmoesio
enmohecí;enmoesi
enmohecía;enmoesia
enmohecíamos;enmoesiamos
enmohecían;enmoesian
enmohecías;enmoesias
enmudeceremos;enmudeseremos
enmudecerá;enmudesera
enmudecerán;enmudeseran
enmudecerás;enmudeseras
enmudeceré;enmudesere
enmudecieron;enmudesieron
enmudecimos;enmudesimos
enmudeciste;enmudesiste
enmudeció;enmudesio
enmudecí;enmudesi
enmudecía;enmudesia
enmudecíamos;enmudesiamos
enmudecían;enmudesian
enmudecías;enmudesias
ennegreceremos;ennegreseremos
ennegrecerá;ennegresera
ennegrecerán;ennegreseran
ennegrecerás;ennegreseras
ennegreceré;ennegresere
ennegrecieron;ennegresieron
ennegrecimos;ennegresimos
ennegreciste;ennegresiste
ennegreció;ennegresio
ennegrecí;ennegresi
ennegrecía;ennegresia
ennegrecíamos;ennegresiamos
ennegrecían;ennegresian
ennegrecías;ennegresias
ennobleceremos;ennobleseremos
ennoblecerá;ennoblesera
ennoblecerán;ennobleseran
ennoblecerás;ennobleseras
ennobleceré;ennoblesere
ennoblecieron;ennoblesieron
ennoblecimos;ennoblesimos
ennobleciste;ennoblesiste
ennobleció;ennoblesio
ennoblecí;ennoblesi
ennoblecía;ennoblesia
ennoblecíamos;ennoblesiamos
ennoblecían;ennoblesian
ennoblecías;ennoblesias
enoja;sehora
enojo;sehora
enorgulleceremos;enorgyeseremos
enorgullecerá;enorgyesera
enorgullecerán;enorgyeseran
enorgullecerás;enorgyeseras
enorgulleceré;enorgyesere
enorgullecieron;enorgyesieron
enorgullecimos;enorgyesimos
enorgulleciste;enorgyesiste
enorgulleció;enorgyesio
enorgullecí;enorgyesi
enorgullecía;enorgyesia
enorgullecíamos;enorgyesiamos
enorgullecían;enorgyesian
enorgullecías;enorgyesias
enraizaieron;enraizaieron
enraizaimos;enraizaimos
enraizaiste;enraizaiste
enraizaió;enraizaio
enraizaremos;enraisaremos
enraizará;enraisara
enraizarán;enraisaran
enraizarás;enraisaras
enraizaré;enraisare
enraizaí;enraizai
enraizaía;enraizaia
enraizaíamos;enraizaiamos
enraizaían;enraizaian
enraizaías;enraizaias
enriqueceremos;enrikeseremos
enriquecerá;enrikesera
enriquecerán;enrikeseran
enriquecerás;enrikeseras
enriqueceré;enrikesere
enriquecieron;enrikesieron
enriquecimos;enrikesimos
enriqueciste;enrikesiste
enriqueció;enrikesio
enriquecí;enrikesi
enriquecía;enrikesia
enriquecíamos;enrikesiamos
enriquecían;enrikesian
enriquecías;enrikesias
enrocaieron;enrokaieron
enrocaimos;enrokaimos
enrocaiste;enrokaiste
enrocaió;enrokaio
enrocaremos;enrokaremos
enrocará;enrokara
enrocarán;enrokaran
enrocarás;enrokaras
enrocaré;enrokare
enrocaí;enrokai
enrocaía;enrokaia
enrocaíamos;enrokaiamos
enrocaían;enrokaian
enrocaías;enrokaias
enrojeceremos;enrojeseremos
enrojecerá;enrojesera
enrojecerán;enrojeseran
enrojecerás;enrojeseras
enrojeceré;enrojesere
enrojecieron;enrojesieron
enrojecimos;enrojesimos
enrojeciste;enrojesiste
enrojeció;enrojesio
enrojecí;enrojesi
enrojecía;enrojesia
enrojecíamos;enrojesiamos
enrojecían;enrojesian
enrojecías;enrojesias
ensalada;salata
ensangrentaieron;ensangrentaieron
ensangrentaimos;ensangrentaimos
ensangrentaiste;ensangrentaiste
ensangrentaió;ensangrentaio
ensangrentaremos;ensangrentaremos
ensangrentará;ensangrentara
ensangrentarán;ensangrentaran
ensangrentarás;ensangrentaras
ensangrentaré;ensangrentare
ensangrentaí;ensangrentai
ensangrentaía;ensangrentaia
ensangrentaíamos;ensangrentaiamos
ensangrentaían;ensangrentaian
ensangrentaías;ensangrentaias
ensayos;provas
enseguida;pishin
enseñar;ensenyar
ensombreceremos;ensombreseremos
ensombrecerá;ensombresera
ensombrecerán;ensombreseran
ensombrecerás;ensombreseras
ensombreceré;ensombresere
ensombrecieron;ensombresieron
ensombrecimos;ensombresimos
ensombreciste;ensombresiste
ensombreció;ensombresio
ensombrecí;ensombresi
ensombrecía;ensombresia
ensombrecíamos;ensombresiamos
ensombrecían;ensombresian
ensombrecías;ensombresias
ensordeceremos;ensodreseremos
ensordecerá;ensodresera
ensordecerán;ensodreseran
ensordecerás;ensodreseras
ensordeceré;ensodresere
ensordecieron;ensodresieron
ensordecimos;ensodresimos
ensordeciste;ensodresiste
ensordeció;ensodresio
ensordecí;ensodresi
ensordecía;ensodresia
ensordecíamos;ensodresiamos
ensordecían;ensodresian
ensordecías;ensodresias
ensuciar;ensuziar
entende;entende
entendemos;entendemos
entenden;entenden
entender;entender
entenderemos;entenderemos
entenderá;entendera
entenderán;entenderan
entenderás;entenderas
entenderé;entendere
entendes;entendes
entendieron;entendieron
entendimos;entendimos
entendiste;entendiste
entendió;entendio
entendo;entendo
entendí;entendi
entendía;entendia
entendíamos;entendiamos
entendían;entendian
entendías;entendias
enterar;dar haber
enterarse;informarse
enterneceremos;enterneseremos
enternecerá;enternesera
enternecerán;enterneseran
enternecerás;enterneseras
enterneceré;enternesere
enternecieron;enternesieron
enternecimos;enternesimos
enterneciste;enternesiste
enterneció;enternesio
enternecí;enternesi
enternecía;enternesia
enternecíamos;enternesiamos
enternecían;enternesian
enternecías;enternesias
entero;entero
enterra;enterra
enterraba;enterraba
enterraban;enterraban
enterrabas;enterrabas
enterramos;enterramos
enterran;enterran
enterrar;enterrar
enterraremos;enterraremos
enterraron;enterraron
enterrarse;enterrarse
enterrará;enterrara
enterrarán;enterraran
enterrarás;enterraras
enterraré;enterrare
enterras;enterras
enterraste;enterraste
enterro;enterro
enterrábamos;enterrabamos
enterré;enterre
enterró;enterro
entierra;enterramienta
entierro;enterramiento
entonces;alora
entorpeceremos;entorpeseremos
entorpecerá;entorpesera
entorpecerán;entorpeseran
entorpecerás;entorpeseras
entorpeceré;entorpesere
entorpecieron;entorpesieron
entorpecimos;entorpesimos
entorpeciste;entorpesiste
entorpeció;entorpesio
entorpecí;entorpesi
entorpecía;entorpesia
entorpecíamos;entorpesiamos
entorpecían;entorpesian
entorpecías;entorpesias
entrada;entrada
entrar;entrar
entre;entre
entrega;entrega
entregaba;entregaba
entregaban;entregaban
entregabas;entregabas
entregamos;entregamos
entregan;entregan
entregar;entregar
entregaremos;entregaremos
entregaron;entregaron
entregará;entregara
entregarán;entregaran
entregarás;entregaras
entregaré;entregare
entregas;entregas
entregaste;entregaste
entrego;entrego
entregábamos;entregabamos
entregé;entrege
entregó;entrego
entrelazaieron;entrelazaieron
entrelazaimos;entrelazaimos
entrelazaiste;entrelazaiste
entrelazaió;entrelazaio
entrelazaremos;entrelasaremos
entrelazará;entrelasara
entrelazarán;entrelasaran
entrelazarás;entrelasaras
entrelazaré;entrelasare
entrelazaí;entrelazai
entrelazaía;entrelazaia
entrelazaíamos;entrelazaiamos
entrelazaían;entrelazaian
entrelazaías;entrelazaias
entreoíieron;entreoieron
entreoíimos;entreoimos
entreoíiste;entreoiste
entreoíió;entreoio
entreoíremos;entreoiremos
entreoírá;entreoira
entreoírán;entreoiran
entreoírás;entreoiras
entreoíré;entreoire
entreoí;entreoi
entreoía;entreoia
entreoíamos;entreoiamos
entreoían;entreoian
entreoías;entreoias
entretener;azer pasar el tiempo
entrevenieron;entrevenieron
entrevenimos;entrevenimos
entreveniremos;entreveniremos
entrevenirá;entrevenira
entrevenirán;entreveniran
entrevenirás;entreveniras
entreveniré;entrevenire
entreveniste;entreveniste
entrevenió;entrevenio
entrevení;entreveni
entrevenía;entrevenia
entreveníamos;entreveniamos
entrevenían;entrevenian
entrevenías;entrevenias
entreveremos;entreveremos
entreverá;entrevera
entreverán;entreveran
entreverás;entreveras
entreveré;entrevere
entrevieron;entrevieron
entrevimos;entrevimos
entreviste;entreviste
entrevió;entrevio
entreví;entrevi
entrevía;entrevia
entrevíamos;entreviamos
entrevían;entrevian
entrevías;entrevias
entristeceremos;entristeseremos
entristecerá;entristesera
entristecerán;entristeseran
entristecerás;entristeseras
entristeceré;entristesere
entristecieron;entristesieron
entristecimos;entristesimos
entristeciste;entristesiste
entristeció;entristesio
entristecí;entristesi
entristecía;entristesia
entristecíamos;entristesiamos
entristecían;entristesian
entristecías;entristesias
entropezaieron;entropezaieron
entropezaimos;entropezaimos
entropezaiste;entropezaiste
entropezaió;entropezaio
entropezaremos;entropesaremos
entropezará;entropesara
entropezarán;entropesaran
entropezarás;entropesaras
entropezaré;entropesare
entropezaí;entropezai
entropezaía;entropezaia
entropezaíamos;entropezaiamos
entropezaían;entropezaian
entropezaías;entropezaias
entusiasma;entuziasma
entusiasmo;entuziasmo
envejeceremos;envejeseremos
envejecerseemos;envejeserseemos
envejecerseá;envejesersea
envejecerseán;envejesersean
envejecerseás;envejeserseas
envejecerseé;envejesersee
envejecersieron;envejesersieron
envejecersimos;envejesersimos
envejecersiste;envejesersiste
envejecersió;envejesersio
envejecersí;envejesersi
envejecersía;envejesersia
envejecersíamos;envejesersiamos
envejecersían;envejesersian
envejecersías;envejesersias
envejecerá;envejesera
envejecerán;envejeseran
envejecerás;envejeseras
envejeceré;envejesere
envejecieron;envejesieron
envejecimos;envejesimos
envejeciste;envejesiste
envejeció;envejesio
envejecí;envejesi
envejecía;envejesia
envejecíamos;envejesiamos
envejecían;envejesian
envejecías;envejesias
envergonzaieron;envergonzaieron
envergonzaimos;envergonzaimos
envergonzaiste;envergonzaiste
envergonzaió;envergonzaio
envergonzaremos;envergonsaremos
envergonzará;envergonsara
envergonzarán;envergonsaran
envergonzarás;envergonsaras
envergonzaré;envergonsare
envergonzaí;envergonzai
envergonzaía;envergonzaia
envergonzaíamos;envergonzaiamos
envergonzaían;envergonzaian
envergonzaías;envergonzaias
enviar;embiar
envidia;embidia
envié;embiyi
envolveremos;envolveremos
envolverá;envolvera
envolverán;envolveran
envolverás;envolveras
envolveré;envolvere
envolvieron;envolvieron
envolvimos;envolvimos
envolviste;envolviste
envolvió;envolvio
envolví;envolvi
envolvía;envolvia
envolvíamos;envolviamos
envolvían;envolvian
envolvías;envolvias
enyegüeceremos;enyegueseremos
enyegüecerá;enyeguesera
enyegüecerán;enyegueseran
enyegüecerás;enyegueseras
enyegüeceré;enyeguesere
enyegüecieron;enyeguesieron
enyegüecimos;enyeguesimos
enyegüeciste;enyeguesiste
enyegüeció;enyeguesio
enyegüecí;enyeguesi
enyegüecía;enyeguesia
enyegüecíamos;enyeguesiamos
enyegüecían;enyeguesian
enyegüecías;enyeguesias
equipaje;bagaje
equivaleremos;ekivaleremos
equivalerá;ekivalera
equivalerán;ekivaleran
equivalerás;ekivaleras
equivaleré;ekivalere
equivalieron;ekivalieron
equivalimos;ekivalimos
equivaliste;ekivaliste
equivalió;ekivalio
equivalí;ekivali
equivalía;ekivalia
equivalíamos;ekivaliamos
equivalían;ekivalian
equivalías;ekivalias
equivocaieron;ekivokaieron
equivocaimos;ekivokaimos
equivocaiste;ekivokaiste
equivocaió;ekivokaio
equivocaremos;ekivokaremos
equivocarse;yerrarse
equivocará;ekivokara
equivocarán;ekivokaran
equivocarás;ekivokaras
equivocaré;ekivokare
equivocaí;ekivokai
equivocaía;ekivokaia
equivocaíamos;ekivokaiamos
equivocaían;ekivokaian
equivocaías;ekivokaias
erguieron;ergieron
erguimos;ergimos
erguiremos;ergiremos
erguirá;ergira
erguirán;ergiran
erguirás;ergiras
erguiré;ergire
erguiste;ergiste
erguió;ergio
erguí;ergi
erguía;ergia
erguíamos;ergiamos
erguían;ergian
erguías;ergias
erigieron;eridjieron
erigimos;eridjimos
erigiremos;eridjiremos
erigirá;eridjira
erigirán;eridjiran
erigirás;eridjiras
erigiré;eridjire
erigiste;eridjiste
erigió;eridjio
erigí;erigi
erigía;erigia
erigíamos;erigiamos
erigían;erigian
erigías;erigias
erradicaieron;erradikaieron
erradicaimos;erradikaimos
erradicaiste;erradikaiste
erradicaió;erradikaio
erradicaremos;erradikaremos
erradicará;erradikara
erradicarán;erradikaran
erradicarás;erradikaras
erradicaré;erradikare
erradicaí;erradikai
erradicaía;erradikaia
erradicaíamos;erradikaiamos
erradicaían;erradikaian
erradicaías;erradikaias
erraieron;erraieron
erraimos;erraimos
erraiste;erraiste
erraió;erraio
erraremos;erraremos
errará;errara
errarán;erraran
errarás;erraras
erraré;errare
erraí;errai
erraía;erraia
erraíamos;erraiamos
erraían;erraian
erraías;erraias
error;falta
esa;esta
esbozaieron;esbozaieron
esbozaimos;esbozaimos
esbozaiste;esbozaiste
esbozaió;esbozaio
esbozaremos;esbosaremos
esbozará;esbosara
esbozarán;esbosaran
esbozarás;esbosaras
esbozaré;esbosare
esbozaí;esbozai
esbozaía;esbozaia
esbozaíamos;esbozaiamos
esbozaían;esbozaian
esbozaías;esbozaias
escalafón;grado
escaldar;eskaldar
escalera;eskalera
escalonar;eskalonar
escalón;eskalon
escandalizaieron;eskandalizaieron
escandalizaimos;eskandalizaimos
escandalizaiste;eskandalizaiste
escandalizaió;eskandalizaio
escandalizaremos;eskandalisaremos
escandalizará;eskandalisara
escandalizarán;eskandalisaran
escandalizarás;eskandalisaras
escandalizaré;eskandalisare
escandalizaí;eskandalizai
escandalizaía;eskandalizaia
escandalizaíamos;eskandalizaiamos
escandalizaían;eskandalizaian
escandalizaías;eskandalizaias
escaparate;vitrina
escarmentaieron;eskarmentaieron
escarmentaimos;eskarmentaimos
escarmentaiste;eskarmentaiste
escarmentaió;eskarmentaio
escarmentaremos;eskarmentaremos
escarmentará;eskarmentara
escarmentarán;eskarmentaran
escarmentarás;eskarmentaras
escarmentaré;eskarmentare
escarmentaí;eskarmentai
escarmentaía;eskarmentaia
escarmentaíamos;eskarmentaiamos
escarmentaían;eskarmentaian
escarmentaías;eskarmentaias
escena;shena
escenificaieron;essenifikaieron
escenificaimos;essenifikaimos
escenificaiste;essenifikaiste
escenificaió;essenifikaio
escenificaremos;essenifikaremos
escenificará;essenifikara
escenificarán;essenifikaran
escenificarás;essenifikaras
escenificaré;essenifikare
escenificaí;essenifikai
escenificaía;essenifikaia
escenificaíamos;essenifikaiamos
escenificaían;essenifikaian
escenificaías;essenifikaias
esclareceremos;eslareseremos
esclarecerá;eslaresera
esclarecerán;eslareseran
esclarecerás;eslareseras
esclareceré;eslaresere
esclarecieron;eslaresieron
esclarecimos;eslaresimos
esclareciste;eslaresiste
esclareció;eslaresio
esclarecí;eslaresi
esclarecía;eslaresia
esclarecíamos;eslaresiamos
esclarecían;eslaresian
esclarecías;eslaresias
escoceremos;eskoseremos
escocerá;eskosera
escocerán;eskoseran
escocerás;eskoseras
escoceré;eskosere
escocieron;eskosieron
escocimos;eskosimos
escociste;eskosiste
escoció;eskosio
escocí;eskosi
escocía;eskosia
escocíamos;eskosiamos
escocían;eskosian
escocías;eskosias
escoge;eskodje
escogemos;eskodjemos
escogen;eskodjen
escoger;eskojer
escogeremos;eskodjeremos
escogerá;eskodjera
escogerán;eskodjeran
escogerás;eskodjeras
escogeré;eskodjere
escoges;eskodjes
escogieron;eskodjieron
escogimos;eskodjimos
escogiste;eskodjiste
escogió;eskodjio
escogo;eskogo
escogí;eskogi
escogía;eskogia
escogíamos;eskogiamos
escogían;eskogian
escogías;eskogias
esconderse;eskonderse
escondido;eskondido
escopeta;tufenk
escribiendo;eskrivyendo
escribir;eskrivir
escuchar;oyir
escuela;eskola
escupir;eskupir
esforzaieron;esforzaieron
esforzaimos;esforzaimos
esforzaiste;esforzaiste
esforzaió;esforzaio
esforzaremos;esforsaremos
esforzarse;esforsarse
esforzarse;perkurar
esforzará;esforsara
esforzarán;esforsaran
esforzarás;esforsaras
esforzaré;esforsare
esforzaí;esforzai
esforzaía;esforzaia
esforzaíamos;esforzaiamos
esforzaían;esforzaian
esforzaías;esforzaias
esfuerza;esforsa
esfuerzo;esforso
esgrimir;menear
eslíieron;eslieron
eslíimos;eslimos
eslíiste;esliste
eslíió;eslio
eslíremos;esliremos
eslírá;eslira
eslírán;esliran
eslírás;esliras
eslíré;eslire
eslí;esli
eslía;eslia
eslíamos;esliamos
eslían;eslian
eslías;eslias
esmeralda;esmeralda
esmirna;ezmirna
eso;este
espacia;espasia
espacio;espasio
espada;espada
espalda;espalda
espanta;espanta
espanto;espanto
esparcieron;esparsieron
esparcimos;esparsimos
esparciremos;esparziremos
esparcirá;esparzira
esparcirán;esparziran
esparcirás;esparziras
esparciré;esparzire
esparciste;esparsiste
esparció;esparsio
esparcí;esparci
esparcía;esparcia
esparcíamos;esparciamos
esparcían;esparcian
esparcías;esparcias
español;espanyol
especial;espesial
especializaieron;espesializaieron
especializaimos;espesializaimos
especializaiste;espesializaiste
especializaió;espesializaio
especializaremos;espesialisaremos
especializará;espesialisara
especializarán;espesialisaran
especializarás;espesialisaras
especializaré;espesialisare
especializaí;espesializai
especializaía;espesializaia
especializaíamos;espesializaiamos
especializaían;espesializaian
especializaías;espesializaias
especificaieron;espesifikaieron
especificaimos;espesifikaimos
especificaiste;espesifikaiste
especificaió;espesifikaio
especificaremos;espesifikaremos
especificará;espesifikara
especificarán;espesifikaran
especificarás;espesifikaras
especificaré;espesifikare
especificaí;espesifikai
especificaía;espesifikaia
especificaíamos;espesifikaiamos
especificaían;espesifikaian
especificaías;espesifikaias
espectador;espektador
espectácula;espektakola
espectáculo;espektakolo
especular;espekular
espejo;espejo
esperando;asperando
esperanza;esperansa
esperanzaieron;esperanzaieron
esperanzaimos;esperanzaimos
esperanzaiste;esperanzaiste
esperanzaió;esperanzaio
esperanzaremos;esperansaremos
esperanzará;esperansara
esperanzarán;esperansaran
esperanzarás;esperansaras
esperanzaré;esperansare
esperanzaí;esperanzai
esperanzaía;esperanzaia
esperanzaíamos;esperanzaiamos
esperanzaían;esperanzaian
esperanzaías;esperanzaias
esperar;asperar
esperar;esperar
espiaieron;espiaieron
espiaimos;espiaimos
espiaiste;espiaiste
espiaió;espiaio
espiaremos;espiaremos
espiará;espiara
espiarán;espiaran
espiarás;espiaras
espiaré;espiare
espiaí;espiai
